1 2 3 1.0
2753 83 67 5.00012207031
2754 83 106 6.0
2755 83 108 6.0
2756 83 113 6.0
2757 83 99 6.0
2758 83 93 6.0
2759 83 56 6.0
2760 83 53 6.0
2761 83 51 6.0
2762 83 60 6.0
2763 83 46 6.0
2764 83 85 6.00012207031
2765 83 61 6.00012207031
2766 84 78 1.0
2767 84 80 1.0
2768 84 83 1.0
2769 84 89 1.0
2770 84 71 2.0
2771 84 76 2.0
2772 84 77 2.0
2773 84 88 2.0
2774 84 82 2.0
2775 84 90 2.0
2776 84 96 2.0
2777 84 72 3.0
2778 84 70 3.0
2779 84 75 3.0
2780 84 65 3.0
2781 84 87 3.0
2782 84 81 3.0
2783 84 92 3.0
2784 84 95 3.0
2785 84 101 3.0
2786 84 69 4.0
2787 84 74 4.0
2788 84 86 4.0
2789 84 94 4.0
2790 84 66 4.0
2791 84 102 4.0
2792 84 107 4.0
2793 84 100 4.0
2794 84 64 4.0
2795 84 59 4.0
2796 84 79 4.00012207031
2797 84 68 5.0
2798 84 106 5.0
2799 84 113 5.0
2800 84 108 5.0
2801 84 93 5.0
2802 84 53 5.0
2803 84 99 5.0
2804 84 60 5.0
2805 84 63 5.0
2806 84 58 5.0
2807 84 73 5.00012207031
2808 84 85 5.00012207031
2809 84 47 6.0
2810 84 112 6.0
2811 84 120 6.0
2812 84 114 6.0
2813 84 105 6.0
2814 84 52 6.0
2815 84 54 6.0
2816 84 57 6.0
2817 84 98 6.0
2818 84 62 6.0
2819 84 67 6.00012207031
2820 84 91 6.00012207031
2821 85 79 1.0
2822 85 73 2.0
2823 85 67 3.0
2824 85 61 4.0
2825 85 55 5.0
2826 85 49 6.0
2827 86 81 1.0
2828 86 85 1.00012207031
2829 86 74 2.0
2830 86 79 2.0001220703099998
2831 86 68 3.0
2832 86 75 3.0
2833 86 73 3.0001220703099998
2834 86 69 4.0
2835 86 77 4.0
2836 86 62 4.0
2837 86 67 4.00012207031
2838 86 70 5.0
2839 86 78 5.0
2840 86 56 5.0
2841 86 63 5.0
2842 86 61 5.00012207031
2843 86 76 6.0
2844 86 84 6.0
2845 86 71 6.0
